Sr. No,"All India 
Merit",Choice Code,Course Name,"Exam(JEE/
MHT-CET)",Type,Seat Type,InstituteCode
87,4734 (90.4829038),318526110,Electronics and Computer ,JEE(Main),AI to AI,AI,3185
,,,Science,,,,
88,4766 (90.4153731),620724510,Computer Engineering,JEE(Main),AI to AI,AI,6207
,,,,,,,
89,4799 (90.3562120),675424510,Computer Engineering,JEE(Main),AI to AI,AI,6754
90,4832 (90.3264344),627824510,Computer Engineering,JEE(Main),AI to AI,AI,6278
91,4879 (90.2753039),682224610,Information Technology,JEE(Main),AI to AI,AI,6822
,,,,,,,
92,4899 (90.2015852),680224510,Computer Engineering,JEE(Main),AI to AI,AI,6802
,,,,,,,
93,4940 (90.1440403),617537210,Electronics and ,JEE(Main),AI to AI,AI,6175
,,,Telecommunication Engg,,,,
94,4956 (90.1359067),627637250F,Electronics and ,JEE(Main),AI to AI,AI,6276
,,,Telecommunication Engg,,,,
95,4965 (90.1182158),303651210,"Oil,Oleochemicals and ",JEE(Main),AI to AI,AI,3036
,,,Surfactants Technology,,,,
96,4997 (90.0955622),632637210,Electronics and ,JEE(Main),AI to AI,AI,6326
,,,Telecommunication Engg,,,,
97,4998 (90.0925471),411624210,Computer Science and ,JEE(Main),AI to AI,AI,4116
,,,Engineering,,,,
98,5018 (90.0525367),628224510,Computer Engineering,JEE(Main),AI to AI,AI,6282
,,,,,,,
,,,,,,,
99,5029 (90.0324149),614624510,Computer Engineering,JEE(Main),AI to AI,AI,6146
100,5036 (90.0212875),621424510,Computer Engineering,JEE(Main),AI to AI,AI,6214
101,5037 (90.0112496),320724510,Computer Engineering,JEE(Main),AI to AI,AI,3207
102,5053 (89.9531018),620724610,Information Technology,JEE(Main),AI to AI,AI,6207
,,,,,,,
103,5477 (89.2553007),319961210,Mechanical Engineering,JEE(Main),AI to AI,AI,3199
,,,,,,,
104,5659 (88.9495815),628224610,Information Technology,JEE(Main),AI to AI,AI,6282
,,,,,,,
105,5697 (88.9076155),411529310,Electrical Engineering,JEE(Main),AI to AI,AI,4115
106,5698 (88.9076155),627299510,Artificial Intelligence and ,JEE(Main),AI to AI,AI,6272
,,,Data Science,,,,
107,5722 (88.9035013),614124610,Information Technology,JEE(Main),AI to AI,AI,6141
,,,,,,,
108,5728 (88.8869898),617724510,Computer Engineering,JEE(Main),AI to AI,AI,6177
109,5748 (88.8372671),675424610,Information Technology,JEE(Main),AI to AI,AI,6754
110,5820 (88.6938698),321424610,Information Technology,JEE(Main),AI to AI,AI,3214
,,,,,,,
111,5837 (88.6775874),614126210,Computer Science and ,JEE(Main),AI to AI,AI,6141
,,,Business Systems,,,,
112,5929 (88.5581701),613924510,Computer Engineering,JEE(Main),AI to AI,AI,6139
,,,,,,,
113,5943 (88.5117057),627499510,Artificial Intelligence and ,JEE(Main),AI to AI,AI,6274
,,,Data Science,,,,
114,5954 (88.4769226),628937210,Electronics and ,JEE(Main),AI to AI,AI,6289
,,,Telecommunication Engg,,,,
115,6025 (88.3676654),321492010,Computer Science and ,JEE(Main),AI to AI,AI,3214
,,,Engineering (Internet of ,,,,
116,6093 (88.2441174),314824610,Information Technology,JEE(Main),AI to AI,AI,3148
,,,,,,,
117,6177 (88.1171068),627237210,Electronics and ,JEE(Main),AI to AI,AI,6272
,,,Telecommunication Engg,,,,
