Sr. No,"All India 
Merit",Choice Code,Course Name,"Exam(JEE/
MHT-CET)",Type,Seat Type,InstituteCode
523,21286 (66.7538254),613826310,Artificial Intelligence (AI) ,JEE(Main),AI to AI,AI,6138
,,,and Data Science,,,,
524,21317 (66.7115130),629837210,Electronics and ,JEE(Main),AI to AI,AI,6298
,,,Telecommunication Engg,,,,
525,21338 (66.6989836),211384410,Electronics and Computer ,JEE(Main),AI to AI,AI,2113
,,,Engineering,,,,
526,21344 (66.6989836),110135610,Electrical Engg[Electronics ,JEE(Main),AI to AI,AI,1101
,,,and Power],,,,
527,21362 (66.6989836),614129310,Electrical Engineering,JEE(Main),AI to AI,AI,6141
,,,,,,,
528,21386 (66.6619793),414737210,Electronics and ,JEE(Main),AI to AI,AI,4147
,,,Telecommunication Engg,,,,
529,21440 (66.4971903),512191910,Robotics and Automation,JEE(Main),AI to AI,AI,5121
530,21447 (66.4971903),320024610,Information Technology,JEE(Main),AI to AI,AI,3200
,,,,,,,
531,21493 (66.3486489),627261210,Mechanical Engineering,JEE(Main),AI to AI,AI,6272
532,21613 (66.1997553),662524510,Computer Engineering,JEE(Main),AI to AI,AI,6625
,,,,,,,
533,21638 (66.1977286),631137210,Electronics and ,JEE(Main),AI to AI,AI,6311
,,,Telecommunication Engg,,,,
534,21684 (66.1401726),680824510,Computer Engineering,JEE(Main),AI to AI,AI,6808
535,21712 (66.0917922),533024610,Information Technology,JEE(Main),AI to AI,AI,5330
,,,,,,,
536,21864 (66.0350375),110724210,Computer Science and ,JEE(Main),AI to AI,AI,1107
,,,Engineering,,,,
537,21887 (65.9754738),510424510,Computer Engineering,JEE(Main),AI to AI,AI,5104
,,,,,,,
538,21961 (65.8185357),629819110,Civil Engineering,JEE(Main),AI to AI,AI,6298
,,,,,,,
539,22010 (65.7169804),622237210,Electronics and ,JEE(Main),AI to AI,AI,6222
,,,Telecommunication Engg,,,,
540,22111 (65.6188512),414799510,Artificial Intelligence and ,JEE(Main),AI to AI,AI,4147
,,,Data Science,,,,
541,22156 (65.6142365),517237210,Electronics and ,JEE(Main),AI to AI,AI,5172
,,,Telecommunication Engg,,,,
542,22164 (65.6142365),681524510,Computer Engineering,JEE(Main),AI to AI,AI,6815
543,22236 (65.5542033),675824510,Computer Engineering,JEE(Main),AI to AI,AI,6758
544,22244 (65.5542033),110537210,Electronics and ,JEE(Main),AI to AI,AI,1105
,,,Telecommunication Engg,,,,
545,22275 (65.4614106),318937210,Electronics and ,JEE(Main),AI to AI,AI,3189
,,,Telecommunication Engg,,,,
546,22350 (65.2376587),318791810,Civil and infrastructure ,JEE(Main),AI to AI,AI,3187
,,,Engineering,,,,
,,,,,,,
547,22486 (65.1131804),410424610,Information Technology,JEE(Main),AI to AI,AI,4104
548,22553 (65.0065901),517229310,Electrical Engineering,JEE(Main),AI to AI,AI,5172
549,22640 (64.8385688),632592110,Artificial Intelligence and ,JEE(Main),AI to AI,AI,6325
,,,Machine Learning,,,,
550,22643 (64.8385688),613929310,Electrical Engineering,JEE(Main),AI to AI,AI,6139
551,22647 (64.8385688),679437210,Electronics and ,JEE(Main),AI to AI,AI,6794
,,,Telecommunication Engg,,,,
552,22671 (64.8357243),413637210,Electronics and ,JEE(Main),AI to AI,AI,4136
,,,Telecommunication Engg,,,,
553,22672 (64.8357243),628326310,Artificial Intelligence (AI) ,JEE(Main),AI to AI,AI,6283
,,,and Data Science,,,,
554,22702 (64.8006255),517761210,Mechanical Engineering,JEE(Main),AI to AI,AI,5177
555,22747 (64.7201367),213491210,Computer Science and ,JEE(Main),AI to AI,AI,2134
,,,Engineering(Data Science),,,,
556,22752 (64.7201367),112824610,Information Technology,JEE(Main),AI to AI,AI,1128
557,22779 (64.6320954),347724510,Computer Engineering,JEE(Main),AI to AI,AI,3477
558,22793 (64.6320954),532229310,Electrical Engineering,JEE(Main),AI to AI,AI,5322
559,22810 (64.5846549),211437210,Electronics and ,JEE(Main),AI to AI,AI,2114
,,,Telecommunication Engg,,,,
560,22811 (64.5846549),675924510,Computer Engineering,JEE(Main),AI to AI,AI,6759
,,,,,,,
561,22838 (64.5846549),614437210,Electronics and ,JEE(Main),AI to AI,AI,6144
,,,Telecommunication Engg,,,,
562,22859 (64.5437056),618529310,Electrical Engineering,JEE(Main),AI to AI,AI,6185
563,23043 (64.3410973),628392010,Computer Science and ,JEE(Main),AI to AI,AI,6283
,,,Engineering (Internet of ,,,,
564,23092 (64.3008739),321724510,Computer Engineering,JEE(Main),AI to AI,AI,3217
,,,,,,,
565,23093 (64.3008739),630737210,Electronics and ,JEE(Main),AI to AI,AI,6307
,,,Telecommunication Engg,,,,
566,23153 (64.2017241),317625910,Mechanical and ,JEE(Main),AI to AI,AI,3176
,,,Mechatronics Engineering ,,,,
567,23185 (64.1390991),516437210,Electronics and ,JEE(Main),AI to AI,AI,5164
,,,Telecommunication Engg,,,,
568,23224 (64.0921556),541826310,Artificial Intelligence (AI) ,JEE(Main),AI to AI,AI,5418
,,,and Data Science,,,,
569,23296 (63.9890539),533099510,Artificial Intelligence and ,JEE(Main),AI to AI,AI,5330
,,,Data Science,,,,
570,23299 (63.9890539),347125710,Computer Science and ,JEE(Main),AI to AI,AI,3471
,,,Design,,,,
571,23336 (63.9890539),318737210,Electronics and ,JEE(Main),AI to AI,AI,3187
,,,Telecommunication Engg,,,,
572,23391 (63.9853937),530324510,Computer Engineering,JEE(Main),AI to AI,AI,5303
,,,,,,,
573,23708 (63.5854619),621429310,Electrical Engineering,JEE(Main),AI to AI,AI,6214
574,23737 (63.5259255),628191610,Automation and Robotics,JEE(Main),AI to AI,AI,6281
,,,,,,,
575,23759 (63.5108107),415124210,Computer Science and ,JEE(Main),AI to AI,AI,4151
,,,Engineering,,,,
576,23853 (63.3401985),412337010,Electronics and ,JEE(Main),AI to AI,AI,4123
,,,Communication ,,,,
577,23908 (63.2993327),618324510,Computer Engineering,JEE(Main),AI to AI,AI,6183
,,,,,,,
578,23932 (63.2225003),319392110,Artificial Intelligence and ,JEE(Main),AI to AI,AI,3193
,,,Machine Learning,,,,
579,24018 (63.1786230),322224610,Information Technology,JEE(Main),AI to AI,AI,3222
,,,,,,,
580,24068 (63.1114141),319824510,Computer Engineering,JEE(Main),AI to AI,AI,3198
581,24088 (63.1114141),213124210,Computer Science and ,JEE(Main),AI to AI,AI,2131
,,,Engineering,,,,
582,24123 (63.1114141),618437210,Electronics and ,JEE(Main),AI to AI,AI,6184
,,,Telecommunication Engg,,,,
583,24200 (62.9863755),683924210,Computer Science and ,JEE(Main),AI to AI,AI,6839
,,,Engineering,,,,
584,24304 (62.7636636),212924610,Information Technology,JEE(Main),AI to AI,AI,2129
585,24320 (62.7508697),660924510,Computer Engineering,JEE(Main),AI to AI,AI,6609
586,24420 (62.6398280),346724510,Computer Engineering,JEE(Main),AI to AI,AI,3467
,,,,,,,
587,24600 (62.4746102),112124210,Computer Science and ,JEE(Main),AI to AI,AI,1121
,,,Engineering,,,,
588,24617 (62.4417784),320337210,Electronics and ,JEE(Main),AI to AI,AI,3203
,,,Telecommunication Engg,,,,
,,,,,,,
589,24619 (62.4121082),417737010,Electronics and ,JEE(Main),AI to AI,AI,4177
,,,Communication ,,,,
590,24622 (62.3845640),211124210,Computer Science and ,JEE(Main),AI to AI,AI,2111
,,,Engineering,,,,
591,24630 (62.3537455),626924210,Computer Science and ,JEE(Main),AI to AI,AI,6269
,,,Engineering,,,,
592,24659 (62.3485693),628891110,Computer Science and ,JEE(Main),AI to AI,AI,6288
,,,Engineering(Artificial ,,,,
593,24672 (62.3400736),413899710,Artificial Intelligence,JEE(Main),AI to AI,AI,4138
,,,,,,,
594,24673 (62.3400736),626561510,Mechanical & Automation ,JEE(Main),AI to AI,AI,6265
,,,Engineering,,,,
595,24723 (62.2418696),513937210,Electronics and ,JEE(Main),AI to AI,AI,5139
,,,Telecommunication Engg,,,,
596,24742 (62.1986965),415191210,Computer Science and ,JEE(Main),AI to AI,AI,4151
,,,Engineering(Data Science),,,,
597,24753 (62.1695420),126524210,Computer Science and ,JEE(Main),AI to AI,AI,1265
,,,Engineering,,,,
598,24826 (62.1563722),626837210,Electronics and ,JEE(Main),AI to AI,AI,6268
,,,Telecommunication Engg,,,,
599,24969 (61.8590296),413629310,Electrical Engineering,JEE(Main),AI to AI,AI,4136
,,,,,,,
600,25004 (61.7540574),613837210,Electronics and ,JEE(Main),AI to AI,AI,6138
,,,Telecommunication Engg,,,,
601,25009 (61.7540574),675999510,Artificial Intelligence and ,JEE(Main),AI to AI,AI,6759
,,,Data Science,,,,
602,25029 (61.7540574),321224510,Computer Engineering,JEE(Main),AI to AI,AI,3212
,,,,,,,
,,,,,,,
603,25045 (61.7494647),539024510,Computer Engineering,JEE(Main),AI to AI,AI,5390
,,,,,,,
604,25132 (61.7169189),319437210,Electronics and ,JEE(Main),AI to AI,AI,3194
,,,Telecommunication Engg,,,,
605,25178 (61.6537329),517724610,Information Technology,JEE(Main),AI to AI,AI,5177
606,25206 (61.6537329),627024210,Computer Science and ,JEE(Main),AI to AI,AI,6270
,,,Engineering,,,,
607,25276 (61.5007347),342337210,Electronics and ,JEE(Main),AI to AI,AI,3423
,,,Telecommunication Engg,,,,
608,25304 (61.4715165),663524510,Computer Engineering,JEE(Main),AI to AI,AI,6635
,,,,,,,
609,25309 (61.4678899),346791110,Computer Science and ,JEE(Main),AI to AI,AI,3467
,,,Engineering(Artificial ,,,,
610,25349 (61.4678899),414424210,Computer Science and ,JEE(Main),AI to AI,AI,4144
,,,Engineering,,,,
611,25385 (61.4381271),517037210,Electronics and ,JEE(Main),AI to AI,AI,5170
,,,Telecommunication Engg,,,,
612,25458 (61.2894621),676724510,Computer Engineering,JEE(Main),AI to AI,AI,6767
,,,,,,,
613,25532 (61.1512140),660937210,Electronics and ,JEE(Main),AI to AI,AI,6609
,,,Telecommunication Engg,,,,
614,25559 (61.1374752),110799510,Artificial Intelligence and ,JEE(Main),AI to AI,AI,1107
,,,Data Science,,,,
615,25578 (61.1161102),111437210,Electronics and ,JEE(Main),AI to AI,AI,1114
,,,Telecommunication Engg,,,,
616,25600 (61.1161102),660926310,Artificial Intelligence (AI) ,JEE(Main),AI to AI,AI,6609
,,,and Data Science,,,,
,,,,,,,
617,25653 (61.0259827),110737210,Electronics and ,JEE(Main),AI to AI,AI,1107
,,,Telecommunication Engg,,,,
618,25661 (61.0259827),112124610,Information Technology,JEE(Main),AI to AI,AI,1121
,,,,,,,
619,25746 (60.9280535),413929310,Electrical Engineering,JEE(Main),AI to AI,AI,4139
,,,,,,,
620,25764 (60.8480818),319037210,Electronics and ,JEE(Main),AI to AI,AI,3190
,,,Telecommunication Engg,,,,
621,25818 (60.7909272),112891210,Computer Science and ,JEE(Main),AI to AI,AI,1128
,,,Engineering(Data Science),,,,
622,25962 (60.5865038),112837210,Electronics and ,JEE(Main),AI to AI,AI,1128
,,,Telecommunication Engg,,,,
623,26059 (60.4040043),318750710,Chemical Engineering,JEE(Main),AI to AI,AI,3187
624,26082 (60.3459806),627724210,Computer Science and ,JEE(Main),AI to AI,AI,6277
,,,Engineering,,,,
625,26164 (60.1647303),415124610,Information Technology,JEE(Main),AI to AI,AI,4151
,,,,,,,
626,26180 (60.1002265),211301110,Agricultural Engineering,JEE(Main),AI to AI,AI,2113
627,26253 (60.0849847),413837210,Electronics and ,JEE(Main),AI to AI,AI,4138
,,,Telecommunication Engg,,,,
628,26286 (60.0812958),518224510,Computer Engineering,JEE(Main),AI to AI,AI,5182
,,,,,,,
629,26323 (60.0812958),533037210,Electronics and ,JEE(Main),AI to AI,AI,5330
,,,Telecommunication Engg,,,,
630,26394 (60.0028243),410425110,Computer Technology,JEE(Main),AI to AI,AI,4104
,,,,,,,
631,26435 (59.9921984),622337210,Electronics and ,JEE(Main),AI to AI,AI,6223
,,,Telecommunication Engg,,,,
632,26492 (59.8545739),346524510,Computer Engineering,JEE(Main),AI to AI,AI,3465
633,26552 (59.7184455),632537210,Electronics and ,JEE(Main),AI to AI,AI,6325
,,,Telecommunication Engg,,,,
634,26617 (59.6966364),631724210,Computer Science and ,JEE(Main),AI to AI,AI,6317
,,,Engineering,,,,
635,26734 (59.5350155),319824210,Computer Science and ,JEE(Main),AI to AI,AI,3198
,,,Engineering,,,,
636,26755 (59.5350155),321837210,Electronics and ,JEE(Main),AI to AI,AI,3218
,,,Telecommunication Engg,,,,
637,26805 (59.4903284),416337010,Electronics and ,JEE(Main),AI to AI,AI,4163
,,,Communication ,,,,
638,26839 (59.4402240),631924510,Computer Engineering,JEE(Main),AI to AI,AI,6319
,,,,,,,
639,26940 (59.3548487),690124210,Computer Science and ,JEE(Main),AI to AI,AI,6901
,,,Engineering,,,,
640,26972 (59.2503190),614529310,Electrical Engineering,JEE(Main),AI to AI,AI,6145
641,26995 (59.1857586),615629310,Electrical Engineering,JEE(Main),AI to AI,AI,6156
642,27000 (59.1828942),632424510,Computer Engineering,JEE(Main),AI to AI,AI,6324
643,27010 (59.1828942),413424210,Computer Science and ,JEE(Main),AI to AI,AI,4134
,,,Engineering,,,,
644,27201 (58.8145671),410437010,Electronics and ,JEE(Main),AI to AI,AI,4104
,,,Communication ,,,,
,,,,,,,
645,27222 (58.8145671),627461210,Mechanical Engineering,JEE(Main),AI to AI,AI,6274
,,,,,,,
646,27303 (58.7459989),680837210,Electronics and ,JEE(Main),AI to AI,AI,6808
,,,Telecommunication Engg,,,,
647,27317 (58.7459989),627861210,Mechanical Engineering,JEE(Main),AI to AI,AI,6278
648,27431 (58.6179117),126824210,Computer Science and ,JEE(Main),AI to AI,AI,1268
,,,Engineering,,,,
649,27607 (58.2459589),641937010,Electronics and ,JEE(Main),AI to AI,AI,6419
,,,Communication ,,,,
650,27658 (58.2241270),416329310,Electrical Engineering,JEE(Main),AI to AI,AI,4163
651,27704 (58.1635085),614161210,Mechanical Engineering,JEE(Main),AI to AI,AI,6141
,,,,,,,
652,27712 (58.1044342),627537210,Electronics and ,JEE(Main),AI to AI,AI,6275
,,,Telecommunication Engg,,,,
653,27748 (58.0596481),320429310,Electrical Engineering,JEE(Main),MI to AI,MI,3204
654,27749 (58.0596481),626992510,Computer Science and ,JEE(Main),AI to AI,AI,6269
,,,Engineering (Artificial ,,,,
655,27792 (58.0045745),510937210,Electronics and ,JEE(Main),AI to AI,AI,5109
,,,Telecommunication Engg,,,,
656,27819 (57.9637253),110761210,Mechanical Engineering,JEE(Main),AI to AI,AI,1107
,,,,,,,
657,27857 (57.9092714),621419110,Civil Engineering,JEE(Main),AI to AI,AI,6214
658,27869 (57.9092714),416719110,Civil Engineering,JEE(Main),AI to AI,AI,4167
,,,,,,,
659,27881 (57.9001019),512424510,Computer Engineering,JEE(Main),AI to AI,AI,5124
,,,,,,,
660,27960 (57.8451916),626729310,Electrical Engineering,JEE(Main),AI to AI,AI,6267
,,,,,,,
661,27962 (57.8451916),321991110,Computer Science and ,JEE(Main),AI to AI,AI,3219
,,,Engineering(Artificial ,,,,
662,27981 (57.7631941),412350710,Chemical Engineering,JEE(Main),AI to AI,AI,4123
,,,,,,,
663,28045 (57.7216337),321624510,Computer Engineering,JEE(Main),AI to AI,AI,3216
664,28049 (57.7213205),627850710,Chemical Engineering,JEE(Main),AI to AI,AI,6278
665,28155 (57.5074689),676799510,Artificial Intelligence and ,JEE(Main),AI to AI,AI,6767
,,,Data Science,,,,
666,28214 (57.4883180),631799510,Artificial Intelligence and ,JEE(Main),AI to AI,AI,6317
,,,Data Science,,,,
667,28275 (57.4399093),112137210,Electronics and ,JEE(Main),AI to AI,AI,1121
,,,Telecommunication Engg,,,,
668,28304 (57.4399093),517799510,Artificial Intelligence and ,JEE(Main),AI to AI,AI,5177
,,,Data Science,,,,
669,28323 (57.3709927),664337210,Electronics and ,JEE(Main),AI to AI,AI,6643
,,,Telecommunication Engg,,,,
670,28443 (57.1457305),538224510,Computer Engineering,JEE(Main),AI to AI,AI,5382
,,,,,,,
671,28638 (56.9303995),627724610,Information Technology,JEE(Main),AI to AI,AI,6277
,,,,,,,
672,28683 (56.8656090),632037210,Electronics and ,JEE(Main),AI to AI,AI,6320
,,,Telecommunication Engg,,,,
,,,,,,,
673,28716 (56.7061710),322291110,Computer Science and ,JEE(Main),AI to AI,AI,3222
,,,Engineering(Artificial ,,,,
674,28730 (56.7036110),540126310,Artificial Intelligence (AI) ,JEE(Main),AI to AI,AI,5401
,,,and Data Science,,,,
675,28735 (56.6972477),516029310,Electrical Engineering,JEE(Main),AI to AI,AI,5160
,,,,,,,
676,28761 (56.6626777),516062410,Mechatronics Engineering,JEE(Main),AI to AI,AI,5160
,,,,,,,
677,28808 (56.6152012),622037210,Electronics and ,JEE(Main),AI to AI,AI,6220
,,,Telecommunication Engg,,,,
678,28834 (56.6152012),212737210,Electronics and ,JEE(Main),AI to AI,AI,2127
,,,Telecommunication Engg,,,,
679,28839 (56.6152012),516125710,Computer Science and ,JEE(Main),AI to AI,AI,5161
,,,Design,,,,
680,28903 (56.6093648),414229310,Electrical Engineering,JEE(Main),AI to AI,AI,4142
,,,,,,,
681,29035 (56.3256799),419324210,Computer Science and ,JEE(Main),AI to AI,AI,4193
,,,Engineering,,,,
682,29036 (56.3224339),319824610,Information Technology,JEE(Main),AI to AI,AI,3198
683,29068 (56.2050753),626761210,Mechanical Engineering,JEE(Main),AI to AI,AI,6267
,,,,,,,
684,29098 (56.2050753),614937210,Electronics and ,JEE(Main),AI to AI,AI,6149
,,,Telecommunication Engg,,,,
685,29293 (56.0861969),620761210,Mechanical Engineering,JEE(Main),AI to AI,AI,6207
,,,,,,,
686,29352 (56.0680477),414524210,Computer Science and ,JEE(Main),AI to AI,AI,4145
,,,Engineering,,,,
,,,,,,,
687,29442 (56.0537588),662824510,Computer Engineering,JEE(Main),AI to AI,AI,6628
688,29478 (55.9662070),679619110,Civil Engineering,JEE(Main),AI to AI,AI,6796
689,29582 (55.8655199),347561210,Mechanical Engineering,JEE(Main),AI to AI,AI,3475
690,29632 (55.8587255),516137210,Electronics and ,JEE(Main),AI to AI,AI,5161
,,,Telecommunication Engg,,,,
691,29651 (55.8135181),515291210,Computer Science and ,JEE(Main),AI to AI,AI,5152
,,,Engineering(Data Science),,,,
692,29679 (55.8135181),632529310,Electrical Engineering,JEE(Main),AI to AI,AI,6325
,,,,,,,
693,29803 (55.6412325),510437210,Electronics and ,JEE(Main),AI to AI,AI,5104
,,,Telecommunication Engg,,,,
694,29814 (55.6412325),678024210,Computer Science and ,JEE(Main),AI to AI,AI,6780
,,,Engineering,,,,
695,29909 (55.2469902),126537210,Electronics and ,JEE(Main),AI to AI,AI,1265
,,,Telecommunication Engg,,,,
696,29941 (55.2469902),663437210,Electronics and ,JEE(Main),AI to AI,AI,6634
,,,Telecommunication Engg,,,,
697,30091 (54.9298204),517261210,Mechanical Engineering,JEE(Main),AI to AI,AI,5172
698,30131 (54.7936002),513024510,Computer Engineering,JEE(Main),AI to AI,AI,5130
,,,,,,,
699,30150 (54.7882689),683991210,Computer Science and ,JEE(Main),AI to AI,AI,6839
,,,Engineering(Data Science),,,,
700,30228 (54.7432670),627862510,Mechanical ,JEE(Main),AI to AI,AI,6278
,,,Engineering[Sandwich],,,,
,,,,,,,
701,30250 (54.7369406),539624510,Computer Engineering,JEE(Main),AI to AI,AI,5396
,,,,,,,
702,30275 (54.7369406),539092110,Artificial Intelligence and ,JEE(Main),AI to AI,AI,5390
,,,Machine Learning,,,,
703,30541 (54.4912609),322390010,Electronics and Computer ,JEE(Main),AI to AI,AI,3223
,,,Science,,,,
704,30571 (54.4467087),319037610,Electronics Engineering,JEE(Main),AI to AI,AI,3190
705,30577 (54.4467087),346092410,Data Engineering,JEE(Main),AI to AI,AI,3460
706,30588 (54.4467087),516219110,Civil Engineering,JEE(Main),AI to AI,AI,5162
,,,,,,,
707,30604 (54.3795506),414424610,Information Technology,JEE(Main),AI to AI,AI,4144
708,30632 (54.2362557),632224510,Computer Engineering,JEE(Main),AI to AI,AI,6322
,,,,,,,
709,30784 (53.9123777),614619110,Civil Engineering,JEE(Main),AI to AI,AI,6146
710,30796 (53.8594835),662824610,Information Technology,JEE(Main),AI to AI,AI,6628
711,30805 (53.8594835),627246610,Instrumentation ,JEE(Main),AI to AI,AI,6272
,,,Engineering,,,,
712,30871 (53.7757762),631129310,Electrical Engineering,JEE(Main),AI to AI,AI,6311
,,,,,,,
713,30910 (53.7155089),628429310,Electrical Engineering,JEE(Main),AI to AI,AI,6284
,,,,,,,
714,30930 (53.7155089),663237210,Electronics and ,JEE(Main),AI to AI,AI,6632
,,,Telecommunication Engg,,,,
,,,,,,,
715,30952 (53.6700667),410429310,Electrical Engineering,JEE(Main),AI to AI,AI,4104
716,30955 (53.6700667),533137210,Electronics and ,JEE(Main),AI to AI,AI,5331
,,,Telecommunication Engg,,,,
717,30956 (53.6700667),412335610,Electrical Engg[Electronics ,JEE(Main),AI to AI,AI,4123
,,,and Power],,,,
718,30978 (53.6524450),512424610,Information Technology,JEE(Main),AI to AI,AI,5124
,,,,,,,
719,31029 (53.5952776),680261210,Mechanical Engineering,JEE(Main),AI to AI,AI,6802
,,,,,,,
720,31114 (53.5629398),314637210,Electronics and ,JEE(Main),AI to AI,AI,3146
,,,Telecommunication Engg,,,,
721,31163 (53.4915707),417419110,Civil Engineering,JEE(Main),AI to AI,AI,4174
722,31353 (53.1435741),413829310,Electrical Engineering,JEE(Main),AI to AI,AI,4138
,,,,,,,
723,31397 (53.1103679),412361210,Mechanical Engineering,JEE(Main),AI to AI,AI,4123
,,,,,,,
724,31415 (53.1103679),419624210,Computer Science and ,JEE(Main),AI to AI,AI,4196
,,,Engineering,,,,
725,31623 (52.9415415),411824510,Computer Engineering,JEE(Main),AI to AI,AI,4118
726,31761 (52.6427477),628837210,Electronics and ,JEE(Main),AI to AI,AI,6288
,,,Telecommunication Engg,,,,
727,31799 (52.5244960),663292110,Artificial Intelligence and ,JEE(Main),AI to AI,AI,6632
,,,Machine Learning,,,,
728,31823 (52.5244960),675899510,Artificial Intelligence and ,JEE(Main),AI to AI,AI,6758
,,,Data Science,,,,
,,,,,,,
729,31849 (52.5244960),211224210,Computer Science and ,JEE(Main),AI to AI,AI,2112
,,,Engineering,,,,
730,31865 (52.5149691),211329310,Electrical Engineering,JEE(Main),AI to AI,AI,2113
731,31912 (52.5106265),540124510,Computer Engineering,JEE(Main),AI to AI,AI,5401
,,,,,,,
732,32048 (52.3954432),112324210,Computer Science and ,JEE(Main),AI to AI,AI,1123
,,,Engineering,,,,
733,32119 (52.3886729),415137010,Electronics and ,JEE(Main),AI to AI,AI,4151
,,,Communication ,,,,
734,32126 (52.3886729),677229310,Electrical Engineering,JEE(Main),AI to AI,AI,6772
735,32127 (52.3886729),541829310,Electrical Engineering,JEE(Main),AI to AI,AI,5418
736,32189 (52.3505135),539924510,Computer Engineering,JEE(Main),AI to AI,AI,5399
737,32195 (52.3505135),111624210,Computer Science and ,JEE(Main),AI to AI,AI,1116
,,,Engineering,,,,
738,32218 (52.3505135),111650710,Chemical Engineering,JEE(Main),AI to AI,AI,1116
,,,,,,,
739,32229 (52.3155971),111419110,Civil Engineering,JEE(Main),AI to AI,AI,1114
,,,,,,,
740,32232 (52.3155971),320624510,Computer Engineering,JEE(Main),AI to AI,AI,3206
741,32249 (52.3000834),517924510,Computer Engineering,JEE(Main),AI to AI,AI,5179
742,32322 (52.0875684),510337210,Electronics and ,JEE(Main),AI to AI,AI,5103
,,,Telecommunication Engg,,,,
,,,,,,,
743,32393 (52.0505709),518424510,Computer Engineering,JEE(Main),AI to AI,AI,5184
,,,,,,,
744,32519 (51.8791251),628246610,Instrumentation ,JEE(Main),AI to AI,AI,6282
,,,Engineering,,,,
745,32597 (51.7791778),317537210,Electronics and ,JEE(Main),AI to AI,AI,3175
,,,Telecommunication Engg,,,,
746,32781 (51.3725023),464919110,Civil Engineering,JEE(Main),AI to AI,AI,4649
747,32832 (51.1947232),346092410,Data Engineering,JEE(Main),MI to AI,MI,3460
748,32859 (51.1947232),319761210,Mechanical Engineering,JEE(Main),AI to AI,AI,3197
,,,,,,,
749,32871 (51.1827755),461337210,Electronics and ,JEE(Main),AI to AI,AI,4613
,,,Telecommunication Engg,,,,
750,32895 (51.1155242),621724210,Computer Science and ,JEE(Main),AI to AI,AI,6217
,,,Engineering,,,,
751,32931 (51.1043578),627037210,Electronics and ,JEE(Main),AI to AI,AI,6270
,,,Telecommunication Engg,,,,
752,33060 (50.9699679),512161210,Mechanical Engineering,JEE(Main),AI to AI,AI,5121
753,33094 (50.9507428),251624210,Computer Science and ,JEE(Main),AI to AI,AI,2516
,,,Engineering,,,,
754,33105 (50.9507428),662261210,Mechanical Engineering,JEE(Main),AI to AI,AI,6622
755,33253 (50.7758888),679524510,Computer Engineering,JEE(Main),AI to AI,AI,6795
,,,,,,,
756,33368 (50.5334840),417461210,Mechanical Engineering,JEE(Main),AI to AI,AI,4174
,,,,,,,
757,33564 (50.4149954),111924610,Information Technology,JEE(Main),AI to AI,AI,1119
,,,,,,,
758,33595 (50.4149954),622029310,Electrical Engineering,JEE(Main),AI to AI,AI,6220
,,,,,,,
759,33642 (50.3261548),540124610,Information Technology,JEE(Main),AI to AI,AI,5401
,,,,,,,
760,33643 (50.3261548),676224210,Computer Science and ,JEE(Main),AI to AI,AI,6762
,,,Engineering,,,,
761,33665 (50.3261548),320224510,Computer Engineering,JEE(Main),AI to AI,AI,3202
762,33740 (50.0613155),322361210,Mechanical Engineering,JEE(Main),AI to AI,AI,3223
,,,,,,,
763,33745 (50.0613155),510861210,Mechanical Engineering,JEE(Main),AI to AI,AI,5108
,,,,,,,
764,33755 (50.0613155),626937210,Electronics and ,JEE(Main),AI to AI,AI,6269
,,,Telecommunication Engg,,,,
765,33812 (49.9619311),630824510,Computer Engineering,JEE(Main),AI to AI,AI,6308
,,,,,,,
766,33964 (49.7826188),418824210,Computer Science and ,JEE(Main),AI to AI,AI,4188
,,,Engineering,,,,
767,33966 (49.7826188),414599510,Artificial Intelligence and ,JEE(Main),AI to AI,AI,4145
,,,Data Science,,,,
768,33981 (49.7826188),321037210,Electronics and ,JEE(Main),AI to AI,AI,3210
,,,Telecommunication Engg,,,,
769,34010 (49.7650668),414261210,Mechanical Engineering,JEE(Main),AI to AI,AI,4142
,,,,,,,
770,34014 (49.7650668),335124510,Computer Engineering,JEE(Main),AI to AI,AI,3351
,,,,,,,
771,34077 (49.6973101),110161210,Mechanical Engineering,JEE(Main),AI to AI,AI,1101
772,34184 (49.3640824),675837210,Electronics and ,JEE(Main),AI to AI,AI,6758
,,,Telecommunication Engg,,,,
773,34205 (49.3237306),510624510,Computer Engineering,JEE(Main),AI to AI,AI,5106
,,,,,,,
774,34224 (49.3237306),314661210,Mechanical Engineering,JEE(Main),AI to AI,AI,3146
,,,,,,,
775,34287 (49.3237306),679724210,Computer Science and ,JEE(Main),AI to AI,AI,6797
,,,Engineering,,,,
776,34464 (48.9715980),517737210,Electronics and ,JEE(Main),AI to AI,AI,5177
,,,Telecommunication Engg,,,,
777,34514 (48.9527740),614650710,Chemical Engineering,JEE(Main),AI to AI,AI,6146
778,34566 (48.9246780),413861210,Mechanical Engineering,JEE(Main),AI to AI,AI,4138
,,,,,,,
779,34622 (48.7736141),225224210,Computer Science and ,JEE(Main),AI to AI,AI,2252
,,,Engineering,,,,
780,34783 (48.6384071),414761210,Mechanical Engineering,JEE(Main),AI to AI,AI,4147
781,34790 (48.6315040),412329310,Electrical Engineering,JEE(Main),AI to AI,AI,4123
,,,,,,,
782,34896 (48.5619513),544919110,Civil Engineering,JEE(Main),AI to AI,AI,5449
783,35001 (48.4225800),631926310,Artificial Intelligence (AI) ,JEE(Main),AI to AI,AI,6319
,,,and Data Science,,,,
