Sr. No,"All India 
Merit",Institute Code,Choice Code,Course Name,"Exam(JEE/
MHT-CET)",Type,Seat Type
,,,,Machine Learning,,,
88,5556 (88.8788734),6175,617527110,Computer Engineering ,JEE(Main),AI to AI,AI
,,,,(Regional Language),,,
89,5609 (88.7655057),6276,627637250F,Electronics and ,JEE(Main),AI to AI,AI
,,,,Telecommunication Engg,,,
90,5725 (88.6009530),3208,320824610,Information Technology,JEE(Main),AI to AI,AI
91,5742 (88.5642762),3185,318537210,Electronics and ,JEE(Main),AI to AI,AI
,,,,Telecommunication Engg,,,
92,5775 (88.5101193),6289,628937210,Electronics and ,JEE(Main),AI to AI,AI
,,,,Telecommunication Engg,,,
93,5829 (88.4575410),6177,617724510,Computer Engineering,JEE(Main),AI to AI,AI
94,5864 (88.3876370),6802,680224510,Computer Engineering,JEE(Main),AI to AI,AI
,,,,,,,
95,5881 (88.3523326),6282,628224510,Computer Engineering,JEE(Main),AI to AI,AI
,,,,,,,
96,5943 (88.2684253),6207,620724610,Information Technology,JEE(Main),AI to AI,AI
,,,,,,,
97,6077 (88.0411726),3176,317625310,Internet of Things (IoT),JEE(Main),AI to AI,AI
98,6164 (87.9335442),6274,627499510,Artificial Intelligence and ,JEE(Main),AI to AI,AI
,,,,Data Science,,,
,,,,,,,
99,6177 (87.8992241),4116,411624210,Computer Science and ,JEE(Main),AI to AI,AI
,,,,Engineering,,,
100,6199 (87.8461434),6282,628224610,Information Technology,JEE(Main),AI to AI,AI
,,,,,,,
101,6405 (87.5145130),6139,613924510,Computer Engineering,JEE(Main),AI to AI,AI
102,6448 (87.4643722),3204,320424610,Information Technology,JEE(Main),AI to AI,AI
103,6596 (87.2122462),6622,662237210,Electronics and ,JEE(Main),AI to AI,AI
,,,,Telecommunication Engg,,,
104,6711 (87.1185166),3184,318461210,Mechanical Engineering,JEE(Main),AI to AI,AI
105,6725 (87.0902315),3147,314719110,Civil Engineering,JEE(Main),AI to AI,AI
,,,,,,,
106,6753 (86.9973352),6272,627299510,Artificial Intelligence and ,JEE(Main),AI to AI,AI
,,,,Data Science,,,
107,6787 (86.9430128),3135,313524510,Computer Engineering,JEE(Main),AI to AI,AI
,,,,,,,
108,6944 (86.6823737),6155,615591310,Computer Science and ,JEE(Main),AI to AI,AI
,,,,Engineering (Artificial ,,,
109,6988 (86.6228092),5121,512124510,Computer Engineering,JEE(Main),AI to AI,AI
110,6994 (86.6228092),6141,614124610,Information Technology,JEE(Main),AI to AI,AI
,,,,,,,
111,7023 (86.5892446),3207,320724510,Computer Engineering,JEE(Main),AI to AI,AI
112,7063 (86.4926068),6177,617724610,Information Technology,JEE(Main),AI to AI,AI
,,,,,,,
113,7121 (86.4146104),3211,321124610,Information Technology,JEE(Main),AI to AI,AI
114,7150 (86.3313879),4116,411691110,Computer Science and ,JEE(Main),AI to AI,AI
,,,,Engineering(Artificial ,,,
115,7173 (86.3158718),6155,615526010,Computer Science and ,JEE(Main),AI to AI,AI
,,,,Engineering (Cyber ,,,
116,7320 (86.1034398),4115,411561210,Mechanical Engineering,JEE(Main),AI to AI,AI
117,7373 (85.9659241),6265,626524210,Computer Science and ,JEE(Main),AI to AI,AI
,,,,Engineering,,,
118,7425 (85.8775203),6285,628524550F,Computer Engineering,JEE(Main),AI to AI,AI
,,,,,,,
119,7473 (85.8425604),6156,615624510,Computer Engineering,JEE(Main),AI to AI,AI
120,7483 (85.8014064),6155,615524510,Computer Engineering,JEE(Main),AI to AI,AI
121,7522 (85.7351646),6265,626524610,Information Technology,JEE(Main),AI to AI,AI
122,7531 (85.7351646),3189,318924610,Information Technology,JEE(Main),AI to AI,AI
123,7575 (85.6442188),3183,318324510,Computer Engineering,JEE(Main),AI to AI,AI
,,,,,,,
124,7603 (85.5986111),1101,110124210,Computer Science and ,JEE(Main),AI to AI,AI
,,,,Engineering,,,
125,7613 (85.5706082),6139,613924610,Information Technology,JEE(Main),AI to AI,AI
126,7709 (85.4068107),4115,411519110,Civil Engineering,JEE(Main),AI to AI,AI
,,,,,,,
127,7733 (85.3536371),6754,675437210,Electronics and ,JEE(Main),AI to AI,AI
,,,,Telecommunication Engg,,,
128,7742 (85.3536371),6273,627361210,Mechanical Engineering,JEE(Main),AI to AI,AI
,,,,,,,
129,7772 (85.3295667),6822,682237210,Electronics and ,JEE(Main),AI to AI,AI
,,,,Telecommunication Engg,,,
130,7797 (85.2761007),6155,615591110,Computer Science and ,JEE(Main),AI to AI,AI
,,,,Engineering(Artificial ,,,
131,7946 (85.0047703),3197,319737210,Electronics and ,JEE(Main),AI to AI,AI
,,,,Telecommunication Engg,,,
132,8063 (84.8388574),2032,203290410,Chemical Engineering,JEE(Main),AI to AI,AI
,,,,,,,
133,8202 (84.6179412),3176,317690010,Electronics and Computer ,JEE(Main),AI to AI,AI
,,,,Science,,,
134,8277 (84.5293954),5121,512124610,Information Technology,JEE(Main),AI to AI,AI
135,8337 (84.4808112),6281,628124510,Computer Engineering,JEE(Main),AI to AI,AI
136,8444 (84.2093430),3185,318537610,Electronics Engineering,JEE(Main),AI to AI,AI
,,,,,,,
137,8488 (84.1620735),6796,679637210,Electronics and ,JEE(Main),AI to AI,AI
,,,,Telecommunication Engg,,,
138,8761 (83.7571234),6274,627437210,Electronics and ,JEE(Main),AI to AI,AI
,,,,Telecommunication Engg,,,
139,8774 (83.7494942),4115,411537610,Electronics Engineering,JEE(Main),AI to AI,AI
140,8805 (83.7208625),4115,411529310,Electrical Engineering,JEE(Main),AI to AI,AI
,,,,,,,
141,8855 (83.6080665),6272,627237210,Electronics and ,JEE(Main),AI to AI,AI
,,,,Telecommunication Engg,,,
142,8907 (83.5281427),3211,321199510,Artificial Intelligence and ,JEE(Main),AI to AI,AI
,,,,Data Science,,,
143,8920 (83.5161250),6156,615624610,Information Technology,JEE(Main),AI to AI,AI
144,8955 (83.4776576),3135,313524610,Information Technology,JEE(Main),AI to AI,AI
,,,,,,,
145,9000 (83.3836598),6214,621424510,Computer Engineering,JEE(Main),AI to AI,AI
146,9040 (83.3513895),6178,617824510,Computer Engineering,JEE(Main),AI to AI,AI
,,,,,,,
147,9098 (83.2730745),6146,614637210,Electronics and ,JEE(Main),AI to AI,AI
,,,,Telecommunication Engg,,,
148,9169 (83.1853176),3176,317661210,Mechanical Engineering,JEE(Main),AI to AI,AI
149,9182 (83.1773304),4167,416725110,Computer Technology,JEE(Main),AI to AI,AI
150,9186 (83.1397590),4174,417424510,Computer Engineering,JEE(Main),AI to AI,AI
151,9245 (82.9978831),4167,416724610,Information Technology,JEE(Main),AI to AI,AI
152,9314 (82.9718185),3207,320724610,Information Technology,JEE(Main),AI to AI,AI
153,9381 (82.8499314),6207,620799510,Artificial Intelligence and ,JEE(Main),AI to AI,AI
,,,,Data Science,,,
154,9393 (82.8430946),6141,614126210,Computer Science and ,JEE(Main),AI to AI,AI
,,,,Business Systems,,,
,,,,,,,
155,9420 (82.8286142),6267,626724210,Computer Science and ,JEE(Main),AI to AI,AI
,,,,Engineering,,,
156,9476 (82.7244727),6288,628824210,Computer Science and ,JEE(Main),AI to AI,AI
,,,,Engineering,,,
157,9520 (82.5978693),3176,317637210,Electronics and ,JEE(Main),AI to AI,AI
,,,,Telecommunication Engg,,,
158,9554 (82.5512412),6145,614524510,Computer Engineering,JEE(Main),AI to AI,AI
159,9599 (82.5143224),1101,110124610,Information Technology,JEE(Main),AI to AI,AI
160,9641 (82.4942188),6622,662224510,Computer Engineering,JEE(Main),AI to AI,AI
161,9652 (82.4893737),6178,617824610,Information Technology,JEE(Main),AI to AI,AI
,,,,,,,
162,9757 (82.4267413),6282,628299510,Artificial Intelligence and ,JEE(Main),AI to AI,AI
,,,,Data Science,,,
163,9774 (82.3816054),4142,414224210,Computer Science and ,JEE(Main),AI to AI,AI
,,,,Engineering,,,
164,9803 (82.2236033),4167,416791110,Computer Science and ,JEE(Main),AI to AI,AI
,,,,Engineering(Artificial ,,,
165,9830 (82.1928737),4116,411624610,Information Technology,JEE(Main),AI to AI,AI
166,9835 (82.1908682),6175,617519110,Civil Engineering,JEE(Main),AI to AI,AI
,,,,,,,
167,9850 (82.1498174),6285,628524650F,Information Technology,JEE(Main),AI to AI,AI
,,,,,,,
168,9881 (82.1233696),3194,319424510,Computer Engineering,JEE(Main),AI to AI,AI
,,,,,,,
169,9907 (82.0913739),3183,318324610,Information Technology,JEE(Main),AI to AI,AI
,,,,,,,
170,9945 (82.0603550),6284,628424510,Computer Engineering,JEE(Main),AI to AI,AI
,,,,,,,
171,9988 (82.0200227),3148,314824510,Computer Engineering,JEE(Main),AI to AI,AI
,,,,,,,
172,10086 (81.8695237),3203,320324510,Computer Engineering,JEE(Main),AI to AI,AI
173,10215 (81.6351662),6139,613999510,Artificial Intelligence and ,JEE(Main),AI to AI,AI
,,,,Data Science,,,
174,10217 (81.6351662),6802,680299510,Artificial Intelligence and ,JEE(Main),AI to AI,AI
,,,,Data Science,,,
175,10237 (81.6256817),6278,627837210,Electronics and ,JEE(Main),AI to AI,AI
,,,,Telecommunication Engg,,,
176,10464 (81.2908769),3187,318724510,Computer Engineering,JEE(Main),AI to AI,AI
177,10471 (81.2903642),3211,321192010,Computer Science and ,JEE(Main),AI to AI,AI
,,,,Engineering (Internet of ,,,
178,10596 (81.1369063),3211,321192110,Artificial Intelligence and ,JEE(Main),AI to AI,AI
,,,,Machine Learning,,,
179,10597 (81.1369063),6145,614524610,Information Technology,JEE(Main),AI to AI,AI
180,10612 (81.1147401),6160,616024510,Computer Engineering,JEE(Main),AI to AI,AI
181,10687 (80.9797293),3423,342324510,Computer Engineering,JEE(Main),AI to AI,AI
182,10768 (80.8635648),4174,417424610,Information Technology,JEE(Main),AI to AI,AI
,,,,,,,
183,10776 (80.8635648),3135,313599510,Artificial Intelligence and ,JEE(Main),AI to AI,AI
,,,,Data Science,,,
184,10830 (80.7315505),2250,225024210,Computer Science and ,JEE(Main),AI to AI,AI
,,,,Engineering,,,
185,10841 (80.7315505),6122,612224510,Computer Engineering,JEE(Main),AI to AI,AI
186,10893 (80.6852507),4123,412324210,Computer Science and ,JEE(Main),AI to AI,AI
,,,,Engineering,,,
187,10930 (80.6291518),6139,613992110,Artificial Intelligence and ,JEE(Main),AI to AI,AI
,,,,Machine Learning,,,
188,10984 (80.5483465),6155,615524610,Information Technology,JEE(Main),AI to AI,AI
189,11012 (80.5436897),6214,621456810,Computer Science and ,JEE(Main),AI to AI,AI
,,,,Information Technology,,,
190,11016 (80.5202772),4116,411626010,Computer Science and ,JEE(Main),AI to AI,AI
,,,,Engineering (Cyber ,,,
191,11044 (80.4943002),3475,347524510,Computer Engineering,JEE(Main),AI to AI,AI
192,11059 (80.4609648),3201,320199510,Artificial Intelligence and ,JEE(Main),AI to AI,AI
,,,,Data Science,,,
193,11188 (80.2314069),3197,319729310,Electrical Engineering,JEE(Main),AI to AI,AI
,,,,,,,
194,11197 (80.2307183),4167,416799510,Artificial Intelligence and ,JEE(Main),AI to AI,AI
,,,,Data Science,,,
195,11212 (80.1899573),5108,510824510,Computer Engineering,JEE(Main),AI to AI,AI
,,,,,,,
196,11314 (80.0900469),3196,319691110,Computer Science and ,JEE(Main),AI to AI,AI
,,,,Engineering(Artificial ,,,
,,,,,,,
197,11331 (80.0900469),6755,675524510,Computer Engineering,JEE(Main),AI to AI,AI
198,11337 (80.0878421),4116,411699710,Artificial Intelligence,JEE(Main),AI to AI,AI
199,11344 (80.0723490),5449,544924510,Computer Engineering,JEE(Main),AI to AI,AI
200,11346 (80.0723490),6156,615699510,Artificial Intelligence and ,JEE(Main),AI to AI,AI
