Sr.No.,Cut Off Merit (Score),Choice Code,Course Name,"Exam (JEE/MHT-
CET)",Type,Seat Type,Institue Code
380,20273 (75.3498395),678124210,Computer Science and Engineering,JEE,MH to AI,GNT3H,
381,20343 (75.2773901),627724510,Computer Engineering,JEE,AI to AI,AI,
382,20350 (75.2773901),618424510,Computer Engineering,JEE,AI to AI,AI,
383,20362 (75.2773901),510450710,Chemical Engineering,JEE,AI to AI,AI,
384,20451 (75.0427495),613929310,Electrical Engineering,JEE,AI to AI,AI,
385,20529 (75.0370156),414237210,Electronics and Telecommunication,JEE,MH to AI,GOPENO,
386,20602 (74.9972764),631529310,Electrical Engineering,JEE,MH to AI,GNT2H,
387,20619 (74.9972764),630724610,Information Technology,JEE,AI to AI,AI,
388,20632 (74.9288373),417124210,Computer Science and Engineering,JEE,AI to AI,AI,
389,20643 (74.9288373),417124210,Computer Science and Engineering,JEE,AI to AI,AI,
390,20830 (74.6199452),629824520,Computer Engineering,JEE,AI to AI,AI,
391,20938 (74.5371978),342337610,Electronics Engineering,JEE,MH to AI,GOPENO,
392,20989 (74.5175414),211324210,Computer Science and Engineering,JEE,AI to AI,AI,
393,20991 (74.5175414),320624510,Computer Engineering,JEE,AI to AI,AI,
394,21040 (74.4545277),678724510,Computer Engineering,JEE,AI to AI,AI,
395,21064 (74.4545277),414424210,Computer Science and Engineering,JEE,MH to AI,GNT3H,
396,21091 (74.4545277),413624210,Computer Science and Engineering,JEE,AI to AI,AI,
397,21125 (74.4152047),620637210,Electronics and Telecommunication,JEE,MH to AI,GNT1H,
398,21148 (74.4152047),411661210,Mechanical Engineering,JEE,AI to AI,AI,
399,21187 (74.3809331),317519110,Civil Engineering,JEE,AI to AI,AI,
400,21272 (74.3166557),412324610,Information Technology,JEE,AI to AI,AI,
401,21332 (74.2420371),612237210,Electronics and Telecommunication,JEE,MH to AI,GSEBCH,
402,21391 (74.0596184),617637210,Electronics and Telecommunication,JEE,AI to AI,AI,
403,21454 (74.0565527),318761210,Mechanical Engineering,JEE,AI to AI,AI,
404,21523 (73.9907537),318719110,Civil Engineering,JEE,AI to AI,AI,
405,21593 (73.7385861),676824510,Computer Engineering,JEE,MH to AI,GNT2H,
406,21628 (73.7285393),253324210,Computer Science and Engineering,JEE,AI to AI,AI,
407,21732 (73.6808657),617719110,Civil Engineering,JEE,AI to AI,AI,
408,21825 (73.5816691),319324510,Computer Engineering,JEE,AI to AI,AI,
409,22093 (73.1618021),533161210,Mechanical Engineering,JEE,MH to AI,GNT1H,
410,22096 (73.1618021),417819110,Civil Engineering,JEE,MH to AI,GNT1H,
411,22310 (73.0272885),631124510,Computer Engineering,JEE,AI to AI,AI,
412,22325 (73.0272885),417419110,Civil Engineering,JEE,AI to AI,AI,
413,22363 (72.9983213),414524210,Computer Science and Engineering,JEE,MH to AI,GNT2H,
414,22406 (72.9983213),417724210,Computer Science and Engineering,JEE,AI to AI,AI,
415,22491 (72.9062809),417108210,Bio Technology,JEE,AI to AI,AI,
416,22506 (72.9062809),318750710,Chemical Engineering,JEE,AI to AI,AI,
417,22560 (72.7435655),618524510,Computer Engineering,JEE,AI to AI,AI,
418,22738 (72.4730819),677024610,Information Technology,JEE,AI to AI,AI,
419,22814 (72.4426198),411619110,Civil Engineering,JEE,AI to AI,AI,
420,22840 (72.4426198),318460610,Production Engineering,JEE,AI to AI,AI,
421,22893 (72.4194579),620719110,Civil Engineering,JEE,AI to AI,AI,
422,22961 (72.2310351),346761210,Mechanical Engineering,JEE,MH to AI,GNT1H,
423,23047 (72.1455446),673237210,Electronics and Telecommunication,JEE,MH to AI,LOBCH,
424,23080 (72.1379972),110537210,Electronics and Telecommunication,JEE,AI to AI,AI,
425,23084 (72.1379972),675519110,Civil Engineering,JEE,MH to AI,GNT1H,
426,23183 (71.9048099),627524510,Computer Engineering,JEE,AI to AI,AI,
427,23202 (71.9048099),318737610,Electronics Engineering,JEE,AI to AI,AI,
428,23204 (71.9048099),212719110,Civil Engineering,JEE,AI to AI,AI,
429,23232 (71.9007664),612261210,Mechanical Engineering,JEE,AI to AI,AI,
430,23357 (71.8174978),346719110,Civil Engineering,JEE,MH to AI,GNT1H,
431,23366 (71.8174978),617761210,Mechanical Engineering,JEE,AI to AI,AI,
