Sr.No.,Cut Off Merit (Score),Choice Code,Course Name,"Exam (JEE/MHT-
CET)",Type,Seat Type,Institue Code
432,23432 (71.7289465),518237210,,JEE,MH to AI,LOBCH,
433,23524 (71.7060984),413924210,Computer Science and Engineering,JEE,AI to AI,AI,
434,23534 (71.6728604),213229310,Electrical Engineering,JEE,AI to AI,AI,
435,23542 (71.6728604),613929320,Electrical Engineering,JEE,AI to AI,AI,
436,23697 (71.4515003),664024210,Computer Science and Engineering,JEE,AI to AI,AI,
437,23712 (71.4515003),110524610,Information Technology,JEE,AI to AI,AI,
438,23778 (71.4461245),342361210,Mechanical Engineering,JEE,MH to AI,LOPENO,
439,23881 (71.2612941),251624210,Computer Science and Engineering,JEE,MH to AI,GNT1H,
440,23940 (71.2262999),544924610,Information Technology,JEE,AI to AI,AI,
441,23998 (71.2048888),618524520,Computer Engineering,JEE,AI to AI,AI,
442,24005.1 (71.1770368),628437210,Electronics and Telecommunication,JEE,AI to AI,AI,
443,24083 (71.1524350),510924510,Computer Engineering,JEE,AI to AI,AI,
444,24191 (70.8863847),111424610,Information Technology,JEE,AI to AI,AI,
445,24328 (70.7278538),313946110,Bio Medical Engineering,JEE,AI to AI,AI,
446,24330 (70.7278538),673219110,Civil Engineering,JEE,MH to AI,LOBCH,
447,24526 (70.5733130),627862510,Mechanical Engineering[Sandwich],JEE,AI to AI,AI,
448,24565 (70.5733130),620761220,Mechanical Engineering,JEE,AI to AI,AI,
449,24695 (70.4622930),615661220,Mechanical Engineering,JEE,AI to AI,AI,
450,24698 (70.4622930),319637210,Electronics and Telecommunication,JEE,AI to AI,AI,
451,24738 (70.4622930),212924210,Computer Science and Engineering,JEE,AI to AI,AI,
452,24801 (70.4569395),621461610,Mechanical Engineering Automobile,JEE,AI to AI,AI,
453,24817 (70.4569395),612219110,Civil Engineering,JEE,MH to AI,GNT1H,
454,24848 (70.3066514),110561210,Mechanical Engineering,JEE,MH to AI,LOBCH,
455,24860 (70.3066514),212961210,Mechanical Engineering,JEE,MH to AI,GOBCH,
456,24879 (70.3066514),629824610,Information Technology,JEE,AI to AI,AI,
457,25076 (70.1302524),617719120,Civil Engineering,JEE,AI to AI,AI,
458,25284 (69.5423692),413737210,Electronics and Telecommunication,JEE,AI to AI,AI,
459,25376 (69.5411946),617761220,Mechanical Engineering,JEE,AI to AI,AI,
460,25521 (69.5072406),626924210,Computer Science and Engineering,JEE,AI to AI,AI,
461,25574 (69.4724101),533124510,Computer Engineering,JEE,AI to AI,AI,
462,25598 (69.3848277),516029310,Electrical Engineering,JEE,AI to AI,AI,
463,25747 (69.3382515),516237210,Electronics and Telecommunication,JEE,AI to AI,AI,
464,25821 (69.2399387),615629310,Electrical Engineering,JEE,AI to AI,AI,
465,25884 (69.1997544),212724610,Information Technology,JEE,AI to AI,AI,
466,26094 (68.7860375),628437210,Electronics and Telecommunication,JEE,MH to AI,LNT3H,
467,26151 (68.7531930),631137210,Electronics and Telecommunication,JEE,MH to AI,LSCH,
468,26284 (68.4959387),322124510,Computer Engineering,JEE,AI to AI,AI,
469,26285 (68.4959387),660924510,Computer Engineering,JEE,MH to AI,GSTH,
470,26328 (68.4959387),319324610,Information Technology,JEE,AI to AI,AI,
471,26361 (68.4695850),618524610,Information Technology,JEE,AI to AI,AI,
472,26380 (68.4199434),679424510,Computer Engineering,JEE,AI to AI,AI,
473,26451 (68.3734194),616037210,Electronics and Telecommunication,JEE,MH to AI,LOBCH,
474,26633 (68.2368278),430424510F,Computer Engineering,JEE,AI to AI,AI,
475,26822 (67.9566680),515124610,Information Technology,JEE,AI to AI,AI,
476,26856 (67.9566680),625024210,Computer Science and Engineering,JEE,AI to AI,AI,
477,26869 (67.8650543),344724510,Computer Engineering,JEE,MH to AI,GNT1H,
478,27104 (67.5175430),679661210,Mechanical Engineering,JEE,MH to AI,GSEBCH,
479,27126 (67.4995644),617661210,Mechanical Engineering,JEE,MH to AI,LOPENH,
480,27256 (67.4506157),625019110,Civil Engineering,JEE,AI to AI,AI,
481,27520 (67.1556729),627024510,Computer Engineering,JEE,AI to AI,AI,
482,27545 (67.1556729),676924610,Information Technology,JEE,AI to AI,AI,
483,27836 (66.7925680),615661210,Mechanical Engineering,JEE,AI to AI,AI,
484,27877 (66.7925680),632461210,Mechanical Engineering,JEE,MH to AI,GNT1H,
485,27896 (66.7925680),322324510,Computer Engineering,JEE,AI to AI,AI,
486,27911 (66.7631260),673261210,Mechanical Engineering,JEE,MH to AI,GNT1H,
487,28017 (66.6529054),622237210,Electronics and Telecommunication,JEE,AI to AI,AI,
488,28070 (66.6238756),517219110,Civil Engineering,JEE,AI to AI,AI,
489,28326 (66.4691294),414724210,Computer Science and Engineering,JEE,AI to AI,AI,
490,28458 (66.0956168),679661210,Mechanical Engineering,JEE,MH to AI,GVJH,
491,28512 (66.0909923),662024610,Information Technology,JEE,AI to AI,AI,
492,28688 (65.8501189),347724510,Computer Engineering,JEE,AI to AI,AI,
493,28696 (65.8501189),510419110,Civil Engineering,JEE,MH to AI,LNT3H,
494,28720 (65.8501189),112124210,Computer Science and Engineering,JEE,MH to AI,GNT1H,
495,28764 (65.8501189),622289010,Textile Chemistry,JEE,AI to AI,AI,
496,28950 (65.6619512),517324510,Computer Engineering,JEE,AI to AI,AI,
497,29028 (65.6619512),516124610,Information Technology,JEE,AI to AI,AI,
498,29093 (65.5991604),110724210,Computer Science and Engineering,JEE,AI to AI,AI,
499,29098 (65.5991604),319661210,Mechanical Engineering,JEE,MH to AI,GOPENO,
500,29102 (65.5991604),676824510,Computer Engineering,JEE,MH to AI,GSTH,
501,29109 (65.5991604),510924610,Information Technology,JEE,AI to AI,AI,
502,29168 (65.4842729),620761210,Mechanical Engineering,JEE,AI to AI,AI,
503,29254 (65.3800283),411629310,Electrical Engineering,JEE,AI to AI,AI,
504,29378 (65.2122599),628161210,Mechanical Engineering,JEE,AI to AI,AI,
505,29428 (65.1669126),616061210,Mechanical Engineering,JEE,AI to AI,AI,
506,29704 (64.8124487),418870110,Mining Engineering,JEE,MH to AI,GNT1H,
507,29799 (64.3161928),412319110,Civil Engineering,JEE,AI to AI,AI,
508,29800 (64.3161928),626537210,Electronics and Telecommunication,JEE,AI to AI,AI,
509,29849 (64.3161928),626824210,Computer Science and Engineering,JEE,AI to AI,AI,
510,30077 (64.0886637),114824210,Computer Science and Engineering,JEE,AI to AI,AI,
511,30224 (64.0398484),111650710,Chemical Engineering,JEE,MH to AI,GNT2H,
512,30337 (63.9271698),612219110,Civil Engineering,JEE,MH to AI,LOBCH,
513,30443 (63.8803737),212624210,Computer Science and Engineering,JEE,AI to AI,AI,
514,30491 (63.8628736),320024610,Information Technology,JEE,AI to AI,AI,
515,30558 (63.5905962),213237210,Electronics and Telecommunication,JEE,AI to AI,AI,
516,30636 (63.5316128),303537610F,Electronics Engineering,JEE,MH to AI,LOPENO,
517,30666 (63.3829415),414761210,Mechanical Engineering,JEE,AI to AI,AI,
518,30690 (63.3405351),416324210,Computer Science and Engineering,JEE,MH to AI,GNT2O,
519,30722 (63.3405351),342319110,Civil Engineering,JEE,MH to AI,GOPENH,
520,30730 (63.3405351),317437610,Electronics Engineering,JEE,AI to AI,AI,
521,30753 (63.3405351),112824210,Computer Science and Engineering,JEE,AI to AI,AI,
522,30755 (63.3405351),213261210,Mechanical Engineering,JEE,AI to AI,AI,
523,30771 (63.3188742),628419110,Civil Engineering,JEE,AI to AI,AI,
524,30893 (63.2441663),663224510,Computer Engineering,JEE,AI to AI,AI,
525,31176 (62.8260946),622229310,Electrical Engineering,JEE,AI to AI,AI,
526,31194 (62.8260946),612219110,Civil Engineering,JEE,MH to AI,GNT2H,
527,31318 (62.5004539),626519110,Civil Engineering,JEE,AI to AI,AI,
528,31328 (62.5004539),602851510,Chemical Technology,JEE,MH to AI,GNT2H,
529,31467 (62.3830848),342361210,Mechanical Engineering,JEE,MH to AI,GOPENO,
530,31514 (62.3606885),677024610,Information Technology,JEE,MH to AI,LSCH,
531,31678 (62.2318540),322224510,Computer Engineering,JEE,MH to AI,LOPENH,
532,31687 (62.2318540),510424610,Information Technology,JEE,AI to AI,AI,
533,31690 (62.2318540),321724510,Computer Engineering,JEE,AI to AI,AI,
534,31768 (62.1191773),417461210,Mechanical Engineering,JEE,AI to AI,AI,
535,31863 (62.0794103),677261210,Mechanical Engineering,JEE,MH to AI,GNT1H,
536,31930 (61.8797400),126524210,Computer Science and Engineering,JEE,AI to AI,AI,
537,32015 (61.7312137),413761210,Mechanical Engineering,JEE,MH to AI,LOPENH,
538,32030 (61.7312137),320337610,Electronics Engineering,JEE,MH to AI,LNT3H,
539,32105 (61.7312137),320737610,Electronics Engineering,JEE,MH to AI,GOPENH,
540,32118 (61.7312137),540819110,Civil Engineering,JEE,MH to AI,GOBCH,
541,32133 (61.6481889),319637220,Electronics and Telecommunication,JEE,MH to AI,GOPENH,
542,32153 (61.6481889),616037210,Electronics and Telecommunication,JEE,MH to AI,LSCH,
543,32222 (61.5862412),322324610,Information Technology,JEE,AI to AI,AI,
544,32249 (61.5862412),317550710,Chemical Engineering,JEE,AI to AI,AI,
545,32492 (61.3678487),622324210,Computer Science and Engineering,JEE,AI to AI,AI,
546,32514 (61.3678487),319037210,Electronics and Telecommunication,JEE,AI to AI,AI,
547,32544 (61.3424634),614424610,Information Technology,JEE,AI to AI,AI,
548,32545 (61.3424634),413861210,Mechanical Engineering,JEE,MH to AI,GOPENO,
549,32616 (61.3424634),631037210,Electronics and Telecommunication,JEE,AI to AI,AI,
550,32710 (61.2878164),346724510,Computer Engineering,JEE,AI to AI,AI,
551,32845 (61.1082493),414419110,Civil Engineering,JEE,MH to AI,GNT1H,
552,32869 (61.1082493),625050710,Chemical Engineering,JEE,AI to AI,AI,
553,32931 (61.0213008),319261210,Mechanical Engineering,JEE,MH to AI,GNT3H,
554,32942 (61.0213008),612237210,Electronics and Telecommunication,JEE,MH to AI,GSTO,
555,33100 (60.8771803),677024610,Information Technology,JEE,MH to AI,DEFOBCO,
556,33113 (60.8764711),678760210,Automobile Engineering,JEE,MH to AI,GOBCH,
557,33165 (60.6871111),675924510,Computer Engineering,JEE,MH to AI,LOBCH,
558,33172 (60.6871111),413824210,Computer Science and Engineering,JEE,AI to AI,AI,
559,33184 (60.6871111),211301110,Agricultural Engineering,JEE,AI to AI,AI,
560,33205 (60.6871111),678719110,Civil Engineering,JEE,MH to AI,GNT1H,
561,33293 (60.4761338),675824510,Computer Engineering,JEE,MH to AI,GNT2H,
562,33464 (60.2448149),622289510,Textile Plant Engineering,JEE,AI to AI,AI,
563,33762 (59.8989519),430519110,Civil Engineering,JEE,MH to AI,GOPENO,
564,33782 (59.8989519),346524510,Computer Engineering,JEE,AI to AI,AI,
565,33865 (59.8849992),418724210,Computer Science and Engineering,JEE,MH to AI,LSTH,
566,33867 (59.8849992),664929310,Electrical Engineering,JEE,MH to AI,GNT1H,
567,33869 (59.8849992),679619110,Civil Engineering,JEE,MH to AI,LSCH,
568,33872 (59.8849992),617637210,Electronics and Telecommunication,JEE,MI to AI,MI,
569,33917 (59.7209997),347724510,Computer Engineering,JEE,MH to AI,GSTH,
570,34046 (59.5196881),412337210,Electronics and Telecommunication,JEE,AI to AI,AI,
571,34049 (59.5196881),414737610,Electronics Engineering,JEE,MH to AI,GNT1H,
572,34060 (59.5079706),675729310,Electrical Engineering,JEE,MH to AI,GNT1H,
573,34081 (59.5079706),318937210,Electronics and Telecommunication,JEE,AI to AI,AI,
574,34123 (59.4654033),110519110,Civil Engineering,JEE,AI to AI,AI,
575,34142 (59.4654033),626720110,Environmental Engineering,JEE,AI to AI,AI,
576,34196 (59.3419763),628824210,Computer Science and Engineering,JEE,AI to AI,AI,
577,34229 (59.3419763),110537210,Electronics and Telecommunication,JEE,MH to AI,GSCH,
578,34269 (59.1485465),417929310,Electrical Engineering,JEE,MH to AI,GOPENO,
579,34375 (58.9929941),663424510,Computer Engineering,JEE,AI to AI,AI,
580,34618 (58.9463893),342361210,Mechanical Engineering,JEE,MH to AI,GOPENH,
581,34755 (58.7206253),516237610,Electronics Engineering,JEE,AI to AI,AI,
582,35052 (58.2570723),110519120,Civil Engineering,JEE,AI to AI,AI,
583,35127 (58.2423238),615519110,Civil Engineering,JEE,AI to AI,AI,
584,35299 (57.9836341),319419110,Civil Engineering,JEE,MH to AI,GSTO,
585,35322 (57.9745384),631724210,Computer Science and Engineering,JEE,AI to AI,AI,
586,35357 (57.9745384),679619110,Civil Engineering,JEE,MH to AI,GSCH,
587,35436 (57.8804548),510919110,Civil Engineering,JEE,AI to AI,AI,
588,35560 (57.8534414),512137620,Electronics Engineering,JEE,MH to AI,GSTH,
589,35566 (57.8534414),628361210,Mechanical Engineering,JEE,AI to AI,AI,
590,35653 (57.5409394),626861210,Mechanical Engineering,JEE,AI to AI,AI,
591,35675 (57.5409394),539924510,Computer Engineering,JEE,AI to AI,AI,
592,35677 (57.5409394),347724510,Computer Engineering,JEE,MH to AI,GVJH,
593,35767 (57.2652992),613824610,Information Technology,JEE,AI to AI,AI,
594,35783 (57.2652992),625061210,Mechanical Engineering,JEE,MH to AI,GNT1H,
595,35868 (57.1938241),678037210,Electronics and Telecommunication,JEE,AI to AI,AI,
596,35898 (57.1845713),319637210,Electronics and Telecommunication,JEE,MI to AI,MI,
597,35908 (57.1845713),541824510,Computer Engineering,JEE,AI to AI,AI,
598,35913 (57.1845713),630324210,Computer Science and Engineering,JEE,AI to AI,AI,
599,36082 (56.9761542),211619110,Civil Engineering,JEE,MH to AI,GNT2H,
600,36103 (56.9761542),533037210,Electronics and Telecommunication,JEE,MH to AI,GNT2H,
601,36370 (56.4587772),622337210,Electronics and Telecommunication,JEE,AI to AI,AI,
602,36397 (56.4587772),347537210,Electronics and Telecommunication,JEE,AI to AI,AI,
603,36538 (56.3496643),513937210,Electronics and Telecommunication,JEE,AI to AI,AI,
604,36685 (56.1235792),602861210,Mechanical Engineering,JEE,MH to AI,LNT1H,
605,36745 (56.0932474),677024610,Information Technology,JEE,MH to AI,GSCH,
606,36748 (56.0932474),615537210,Electronics and Telecommunication,JEE,AI to AI,AI,
607,36831 (56.0631652),628329310,Electrical Engineering,JEE,AI to AI,AI,
608,36862 (56.0288936),110737210,Electronics and Telecommunication,JEE,MH to AI,LSTH,
609,36925 (56.0243907),627262610,Production Engineering[Sandwich],JEE,AI to AI,AI,
610,36942 (56.0243907),678024210,Computer Science and Engineering,JEE,AI to AI,AI,
611,36964 (56.0243907),318837210,Electronics and Telecommunication,JEE,AI to AI,AI,
612,37052 (55.8362528),512137620,Electronics Engineering,JEE,MH to AI,LSEBCH,
613,37151 (55.8243181),417429310,Electrical Engineering,JEE,AI to AI,AI,
614,37185 (55.8243181),613824510,Computer Engineering,JEE,AI to AI,AI,
615,37186 (55.8243181),628319110,Civil Engineering,JEE,AI to AI,AI,
616,37213 (55.7277387),126519110,Civil Engineering,JEE,AI to AI,AI,
617,37347 (55.5640822),628350310,Food Technology,JEE,AI to AI,AI,
618,37427 (55.5640822),632537210,Electronics and Telecommunication,JEE,MH to AI,GOPENO,
619,37435 (55.5580907),539624510,Computer Engineering,JEE,MH to AI,GNT2H,
620,37610 (55.3063432),620361210,Mechanical Engineering,JEE,MH to AI,GNT1H,
621,37662 (55.0471040),629837210,Electronics and Telecommunication,JEE,MH to AI,GSCH,
622,37669 (55.0471040),675561210,Mechanical Engineering,JEE,MH to AI,GNT1H,
623,37695 (55.0471040),679619110,Civil Engineering,JEE,MH to AI,GSEBCH,
624,37772 (55.0471040),518119110,Civil Engineering,JEE,AI to AI,AI,
625,37834 (55.0061749),412361210,Mechanical Engineering,JEE,AI to AI,AI,
626,37974 (54.7886165),347161210,Mechanical Engineering,JEE,AI to AI,AI,
627,38071 (54.5671131),683424510,Computer Engineering,JEE,AI to AI,AI,
628,38109 (54.5671131),622261210,Mechanical Engineering,JEE,AI to AI,AI,
629,38205 (54.5457880),515161210,Mechanical Engineering,JEE,AI to AI,AI,
630,38227 (54.5035715),418761210,Mechanical Engineering,JEE,MH to AI,GNT1H,
631,38235 (54.5035715),418724210,Computer Science and Engineering,JEE,MH to AI,GSEBCH,
632,38278 (54.4546865),540924510,Computer Engineering,JEE,MH to AI,GNT3H,
633,38516 (54.0725330),540824510,Computer Engineering,JEE,MH to AI,GOBCH,
634,38800 (53.6087809),515119110,Civil Engineering,JEE,MH to AI,LSTH,
635,38970 (53.4842699),510961210,Mechanical Engineering,JEE,MH to AI,GOBCO,
636,39002 (53.4395300),512524510,Computer Engineering,JEE,AI to AI,AI,
637,39125 (53.3675051),517261210,Mechanical Engineering,JEE,AI to AI,AI,
638,39189 (53.3675051),627524610,Information Technology,JEE,AI to AI,AI,
639,39443 (53.0187722),631737210,Electronics and Telecommunication,JEE,AI to AI,AI,
640,39463 (52.5601884),319824510,Computer Engineering,JEE,AI to AI,AI,
641,39480 (52.5601884),317561210,Mechanical Engineering,JEE,AI to AI,AI,
642,39536 (52.4859494),632337210,Electronics and Telecommunication,JEE,MH to AI,GNT2H,
643,39662 (52.4282979),673237210,Electronics and Telecommunication,JEE,MH to AI,LSTH,
644,39672 (52.4282979),517724510,Computer Engineering,JEE,AI to AI,AI,
645,39683 (52.4282979),343937210,Electronics and Telecommunication,JEE,MH to AI,LOPENO,
646,39757 (52.3672605),317546110,Bio Medical Engineering,JEE,AI to AI,AI,
647,39782 (52.3672605),614561210,Mechanical Engineering,JEE,MH to AI,GSCH,
648,39904 (52.2898604),630319110,Civil Engineering,JEE,MH to AI,GNT1H,
649,39906 (52.2898604),317537210,Electronics and Telecommunication,JEE,MH to AI,LNT3H,
650,39907 (52.2898604),629829310,Electrical Engineering,JEE,MH to AI,GNT2H,
651,40048 (52.0154169),614424510,Computer Engineering,JEE,AI to AI,AI,
652,40049 (52.0154169),342361210,Mechanical Engineering,JEE,MH to AI,LOPENH,
653,40205 (51.7298681),533024510,Computer Engineering,JEE,AI to AI,AI,
654,40250 (51.7298681),510624510,Computer Engineering,JEE,AI to AI,AI,
655,40255 (51.7298681),318337610,Electronics Engineering,JEE,MH to AI,GOPENO,
656,40491 (51.4300675),342337610,Electronics Engineering,JEE,MH to AI,LOPENH,
657,40542 (51.3974280),320429310,Electrical Engineering,JEE,MI to AI,MI,
658,40543 (51.3974280),614529310,Electrical Engineering,JEE,AI to AI,AI,
659,40677 (51.1965719),319350710,Chemical Engineering,JEE,MH to AI,GOBCH,
660,40820 (51.1075834),111624210,Computer Science and Engineering,JEE,MH to AI,GSCH,
661,40989 (50.6993985),417724610,Information Technology,JEE,AI to AI,AI,
662,41021 (50.6993985),111619110,Civil Engineering,JEE,AI to AI,AI,
663,41053 (50.6993985),627246610,Instrumentation Engineering,JEE,AI to AI,AI,
664,41337 (50.4008523),664324210,Computer Science and Engineering,JEE,AI to AI,AI,
665,41347 (50.4008523),632024510,Computer Engineering,JEE,AI to AI,AI,
666,41371 (50.3358584),314637210,Electronics and Telecommunication,JEE,MH to AI,GNT1H,
667,41391 (50.3358584),618424610,Information Technology,JEE,AI to AI,AI,
668,41395 (50.3358584),110537220,Electronics and Telecommunication,JEE,MH to AI,GNT1H,
669,41403 (50.3358584),211437010,Electronics and Telecommunication,JEE,AI to AI,AI,
670,41422 (50.3358339),412361220,Mechanical Engineering,JEE,MH to AI,GOPENO,
671,41591 (50.1040740),517037210,Electronics and Telecommunication,JEE,MH to AI,LOPENO,
672,41623 (50.1040740),516824510,Computer Engineering,JEE,MH to AI,GNT1H,
673,41715 (49.9464457),677024510,Computer Engineering,JEE,MH to AI,LSEBCO,
674,41797 (49.5058384),618561210,Mechanical Engineering,JEE,MH to AI,GNT1H,
675,41895 (49.5051144),343624510,Computer Engineering,JEE,MH to AI,LOBCH,
676,42120 (49.4348344),430561210,Mechanical Engineering,JEE,AI to AI,AI,
677,42176 (49.3709601),510861210,Mechanical Engineering,JEE,AI to AI,AI,
678,42555 (48.8378761),414737610,Electronics Engineering,JEE,MH to AI,LNT2H,
679,42611 (48.7756368),617837210,Electronics and Telecommunication,JEE,AI to AI,AI,
680,42633 (48.7598228),676824510,Computer Engineering,JEE,MH to AI,GSCH,
681,42645 (48.7598228),662029310,Electrical Engineering,JEE,MH to AI,GOBCH,
682,42690 (48.4694104),632337210,Electronics and Telecommunication,JEE,MH to AI,GNT3H,
683,42702 (48.4694104),628429310,Electrical Engineering,JEE,AI to AI,AI,
684,42895 (48.2853779),413824610,Information Technology,JEE,MI to AI,MI,
685,42963 (47.9668374),322224510,Computer Engineering,JEE,AI to AI,AI,
686,42976 (47.9668374),678737210,Electronics and Telecommunication,JEE,MH to AI,GNT2H,
687,43105 (47.9492562),616019110,Civil Engineering,JEE,MH to AI,GSCH,
688,43149 (47.9492562),346761210,Mechanical Engineering,JEE,MH to AI,GNT2H,
689,43232 (47.6041326),613824610,Information Technology,JEE,MH to AI,GNT3H,
690,43355 (47.4330409),344561210,Mechanical Engineering,JEE,MH to AI,GNT1H,
691,43364 (47.4330409),517237210,Electronics and Telecommunication,JEE,AI to AI,AI,
