"Institute_Code";"ChoiceCode";"CourseName";"Exam";"CutoffRank";"CutoffScore"
6265;"626519110";"Civil Engineering";"JEE";9154;83.7001
6274;"627437210";"Electronics and Telecommunication
Engg";"JEE";9201;83.6819
3201;"320161210";"Mechanical Engineering";"JEE";9221;83.651
6178;"617824610";"Information Technology";"JEE";9252;83.5781
4116;"411691710";"Data Science";"JEE";9271;83.5307
3201;"320199510";"Artificial Intelligence and Data Science";"JEE";9422;83.3202
3203;"320324610";"Information Technology";"JEE";9512;83.2165
1101;"110124610";"Information Technology";"JEE";9521;83.2165
6802;"680299510";"Artificial Intelligence and Data Science";"JEE";9671;83.0211
3148;"314824610";"Information Technology";"JEE";9724;82.9589
5108;"510824510";"Computer Engineering";"JEE";9793;82.835
3194;"319424610";"Information Technology";"JEE";9795;82.835
6145;"614524610";"Information Technology";"JEE";9815;82.835
4649;"464924510";"Computer Engineering";"JEE";9831;82.754
5160;"516024510";"Computer Engineering";"JEE";9871;82.7437
4171;"417150710";"Chemical Engineering";"JEE";9952;82.6457
6289;"628961210";"Mechanical Engineering";"JEE";9958;82.6457
3190;"319024520";"Computer Engineering";"JEE";9988;82.5296
6278;"627837210";"Electronics and Telecommunication
Engg";"JEE";10031;82.5136
6808;"680861210";"Mechanical Engineering";"JEE";10132;82.378
6182;"618224510";"Computer Engineering";"JEE";10184;82.3596
5449;"544924510";"Computer Engineering";"JEE";10191;82.3596
3194;"319499510";"Artificial Intelligence and Data Science";"JEE";10283;82.329
5164;"516424510";"Computer Engineering";"JEE";10295;82.329
3196;"319624510";"Computer Engineering";"JEE";10363;82.1817
3211;"321190010";"Electronics and Computer Science";"JEE";10387;82.144
6272;"627237210";"Electronics and Telecommunication
Engg";"JEE";10488;81.9029
6285;"628524610F";"Information Technology";"JEE";10497;81.9029
6122;"612224510";"Computer Engineering";"JEE";10605;81.7623
5152;"515224210";"Computer Science and Engineering";"JEE";10633;81.7547
5162;"516224510";"Computer Engineering";"JEE";10692;81.7074
6755;"675524510";"Computer Engineering";"JEE";10765;81.6736
3189;"318950710";"Chemical Engineering";"JEE";10766;81.6736
4137;"413724210";"Computer Science and Engineering";"JEE";10790;81.6656
3460;"346024610";"Information Technology";"JEE";10980;81.3865
