Institute_Code,Institute_Name,City,Status,Total_Intake
3436,B.R. Harne College of Engineering & Technology,Tal-Ambernath.,Un-Aided,330
3439,Anjuman-I-Islam's Kalsekar Technical Campus,Panvel,Un-Aided,420
3440,Metropolitan Institute of Technology & Management,Sindhudurg.,Un-Aided,270
3445,Vishwatmak Jangli Maharaj Ashram Trust (Kokamthan),Atma Malik Institute Of Technology & Research,Un-Aided,210
3447,G.M.Vedak Institute of Technology,Raigad.,Un-Aided,120
3460,Universal College of Engineering,Kaman Dist. Palghar,Un-Aided,420
3462,VPM's Maharshi Parshuram College of Engineering,Ratnagiri.,Un-Aided,180
3465,Ideal Institute of Technology,Dist.Thane,Un-Aided,240
3467,Vishwaniketan's Institute of Management Entrepreneurship and Engineering Technology(i MEET),Khalapur Dist Raigad,Un-Aided,360
3470,YASHWANTRAO BHONSALE INSTITUTE OF TECHNOLOGY,Charathe,Un-Aided,300
3471,New Horizon Institute of Technology & Management,Thane,Un-Aided,360
3475,A. P. Shah Institute of Technology,Thane,Un-Aided,720
3477,Chhartrapati Shivaji Maharaj Institute of Technology,Panvel,Un-Aided,300
3503,Indala College Of Engineering,Bapsai Tal.Kalyan,Un-Aided,300
4004,Government College of Engineering,Chandrapur,Aided,330
4005,Laxminarayan Institute of Technology,Nagpur,Un-Aided,132
4025,Government College of Engineering,Nagpur,Aided,300
4104,Kavi Kulguru Institute of Technology & Science,Ramtek,Un-Aided,390
4115,Shri Ramdeobaba College of Engineering and Management,Nagpur,Un-Aided,1080
4116,Ankush Shikshan Sanstha's G.H.Raisoni College of Engineering,Nagpur,Un-Aided,1140
4118,Bapurao Deshmukh College of Engineering,Sevagram,Un-Aided,297
4123,Lokmanya Tilak Jankalyan Shikshan Sanstha,Nagpur,Un-Aided,1440
4133,Sanmarg Shikshan Sanstha's Smt. Radhikatai Pandav College of Engineering,Nagpur,Un-Aided,330
4134,Guru Nanak Institute of Engineering & Technology,Nagpur,Un-Aided,360
4135,Amar Seva Mandal's Shree Govindrao Vanjari College of Engineering & Technology,Nagpur,Un-Aided,360
4136,Lokmanya Tilak Jankalyan Shikshan Sastha,Nagpur,Un-Aided,360
4137,Sir Shantilal Badjate Charitable Trust's S. B. Jain Institute of technology,Nagpur,Un-Aided,420
4138,Jaidev Education Society,Nagpur,Un-Aided,480
4139,Samridhi Sarwajanik Charitable Trust,Nagpur,Un-Aided,420
4141,Shriram Gram Vikas Shikshan Sanstha,Nagpur,Un-Aided,240
4142,Ankush Shikshan Sanstha's G. H. Raisoni Institute of Engineering & Technology,Nagpur,Un-Aided,780
4143,Sanmarg Shikshan Sanstha,Bhandara,Un-Aided,270
4144,Shri. Sai Shikshan Sanstha,Nagpur,Un-Aided,360
4145,Wainganga College of Engineering and Management,Nagpur,Un-Aided,390
4147,K.D.K. College of Engineering,Nagpur,Un-Aided,600
4151,Vidarbha Bahu-Uddeshiya Shikshan Sanstha's Tulshiramji Gaikwad Patil College of Engineering & Technology,Nagpur,Un-Aided,780
4163,Rajiv Gandhi College of Engineering Research & Technology Chandrapur,Chandrapur,Un-Aided,450
4167,Yeshwantrao Chavan College of Engineering,Nagpur,Un-Aided,1320
4172,Anjuman College of Engineering & Technology,Nagpur,Un-Aided,390
4174,ST. Vincent Pallotti College of Engineering & Technology,Nagpur,Un-Aided,720
4175,JMSS Shri Shankarprasad Agnihotri College of Engineering,Wardha,Un-Aided,210
4177,Priyadarshini Bhagwati College of Engineering,Nagpur,Un-Aided,300
4181,Swaminarayan Siddhanta Institute Of Technology,Nagpur,Un-Aided,150
4188,Krushi Jivan Vikas Pratishthan,Mouza Bamni,Un-Aided,450
4190,M.D. Yergude Memorial Shikshan Prasarak Mandal's Shri Sai College of Engineering & Technology,Bhadrawati,Un-Aided,270
4192,Maitraya Education Society,Nagpur,Un-Aided,300
4193,K.D.M. Education Society,Nagpur,Un-Aided,360
4196,Gurunanak Educational Society's Gurunanak Institute of Technology,Nagpur,Un-Aided,360
4197,Jai Mahakali Shikshan Sanstha,Sindhi(Meghe),Un-Aided,135
4285,V M Institute of Engineering and Technology,Nagpur,Un-Aided,300
4302,Gondia Education Society's Manoharbhai Patel Institute Of Engineering & Technology,Bhandara,Un-Aided,114
4304,Cummins College of Engineering For Women,Tal. Hingna Hingna Nagpur,Un-Aided,240
4613,Suryodaya College of Engineering & Technology,Nagpur,Un-Aided,360
4648,R.V. Parankar College of Engineering & Technology,Wardha,Un-Aided,180
4649,Bajaj Institute of Technology,Wardha,Un-Aided,300
4679,Karanjekar College of Engineering & Management,Sakoli,Un-Aided,360
5003,University Institute of Chemical Technology,Jalgaon,Un-Aided,120
5004,Government College of Engineering,Jalgaon,Aided,360
5103,Shri Shivaji Vidya Prasarak Sanstha's Late Bapusaheb Shivaji Rao Deore College of Engineering,Dhule,Un-Aided,360
5104,Shramsadhana Bombay Trust,Jalgaon,Un-Aided,390
5106,Khandesh College Education Society's College Of Engineering And Management,Jalgaon,Un-Aided,360
5108,Maratha Vidya Prasarak Samaj's Karmaveer Adv. Baburao Ganpatrao Thakare College Of Engineering,Nashik,Un-Aided,580
5109,Sandip Foundation,Nashik,Un-Aided,540
5121,K. K. Wagh Institute of Engineering Education and Research,Nashik,Un-Aided,1020
5124,Jagadamba Education Soc. Nashik's S.N.D. College of Engineering & Reserch,Babulgaon,Un-Aided,480
5125,Pravara Rural Education Society's Sir Visvesvaraya Institute of Technology,Nashik,Un-Aided,240
5130,Brahma Valley College of Engineering & Research,Nashik,Un-Aided,300
5139,Pravara Rural College of Engineering,Ahmednagar.,Un-Aided,480
5151,MET Bhujbal Knowledge City MET League's Engineering College,Nashik.,Un-Aided,540
5152,G H Raisoni Institute of Engineering and Business Management,Jalgaon,Un-Aided,510
5160,Sanjivani Rural Education Society's Sanjivani College of Engineering,Kopargaon,Un-Aided,720
5161,Dr. Vithalrao Vikhe Patil College of Engineering,Ahmednagar,Un-Aided,480
5162,Amrutvahini Sheti & Shikshan Vikas Sanstha's Amrutvahini College of Engineering,Sangamner,Un-Aided,840
5164,P.S.G.V.P. Mandal's D.N. Patel College of Engineering,Nandurbar,Un-Aided,336
5168,T.M.E. Society's J.T.Mahajan College of Engineering,Faizpur,Un-Aided,210
5169,Nagaon Education Society's Gangamai College of Engineering,Dhule,Un-Aided,270
5170,Hindi Seva Mandal's Shri Sant Gadgebaba College of Engineering & Technology,Bhusawal,Un-Aided,360
5171,Godavari Foundation's Godavari College Of Engineering,Jalgaon,Un-Aided,360
5172,R. C. Patel Institute of Technology,Shirpur,"Un-Aided, ",600
5173,SNJB's Late Sau. Kantabai Bhavarlalji Jain College of Engineering,Nashik,Un-Aided,390
5177,Matoshri College of Engineering and Research Centre,Nashik,Un-Aided,600
5179,Vishwabharati Academy's College of Engineering,Ahmednagar,Un-Aided,360
5181,Gokhale Education Society's,Nashik,Un-Aided,480
5182,Kalyani Charitable Trust,Nashik,Un-Aided,390
5184,Amruta Vaishnavi Education & Welfare Trust's Shatabdi Institute of Engineering & Research,Sinnar,Un-Aided,138
5244,MET's Institute of Technology Polytechnic,Nashik,Un-Aided,180
